,input_size,jpeg_size,output_shape,compression,jpeg_compression,macs_base_encoder,params_base_encoder,macs_compressor,params_compressor,macs_decoder,params_decoder,Setting,Iou50:95,Iou50
0,768,404049,"[1, 48, 96, 96]",0.25,0.2283443874782986,2272760954.0,169894,0.0,0.0,9003303973.0,7943663,Teacher,0.4216,0.613
1,768,404049,"[1, 24, 96, 96]",0.125,0.2283443874782986,2272760954.0,169894,268524588.0,36348.0,9003303973.0,7943663,1.0,0.4146,0.6061
