,Setting,Iou50:95,Iou50
0,Teacher,0.4216,0.6130
1,0.5,0.3881,0.5727
2,0.58,0.3896,0.5754
3,0.66,0.3928,0.5798
4,0.75,0.3993,0.5879
5,0.83,0.4017,0.5917
6,0.916,0.4049,0.5964
7,1.0,0.4055,0.5973
