,Setting,Iou50:95,Iou50
0,Teacher,0.3696,0.5850
3,0.25,0.3283,0.5256
4,0.33,0.3472,0.5566
5,0.416,0.3543,0.5662
6,0.5,0.3579,0.5712
7,0.58,0.3605,0.5732
8,0.66,0.3618,0.5755
9,0.75,0.3623,0.5767
10,0.83,0.3633,0.5773
11,0.916,0.3637,0.5791
12,1.0,0.3637,0.5790
