,input_size,jpeg_size,output_shape,compression,jpeg_compression,macs_base_encoder,params_base_encoder,macs_compressor,params_compressor,macs_decoder,params_decoder,Setting,Iou50:95,Iou50
0,640,282435,"[1, 40, 80, 80]",0.20833333333333334,0.22984619140625,1444676502.0,139632,0.0,0.0,4920890278.0,6517556,Teacher,0.3882,0.5773
1,640,282435,"[1, 7, 80, 80]",0.036458333333333336,0.22984619140625,1444676502.0,139632,118411450.0,31290.0,4870202278.0,6517556,0.167,0.339,0.5128
2,640,282435,"[1, 10, 80, 80]",0.052083333333333336,0.22984619140625,1444676502.0,139632,123077050.0,31290.0,4874810278.0,6517556,0.25,0.352,0.5303
3,640,282435,"[1, 13, 80, 80]",0.06770833333333333,0.22984619140625,1444676502.0,139632,127742650.0,31290.0,4879418278.0,6517556,0.33,0.361,0.5423
4,640,282435,"[1, 17, 80, 80]",0.08854166666666667,0.22984619140625,1444676502.0,139632,133963450.0,31290.0,4885562278.0,6517556,0.416,0.3701,0.5559
5,640,282435,"[1, 20, 80, 80]",0.10416666666666667,0.22984619140625,1444676502.0,139632,138629050.0,31290.0,4890170278.0,6517556,0.5,0.3735,0.5613
6,640,282435,"[1, 23, 80, 80]",0.11979166666666667,0.22984619140625,1444676502.0,139632,143294650.0,31290.0,4894778278.0,6517556,0.58,0.3746,0.5612
7,640,282435,"[1, 26, 80, 80]",0.13541666666666666,0.22984619140625,1444676502.0,139632,147960250.0,31290.0,4899386278.0,6517556,0.66,0.3753,0.5627
8,640,282435,"[1, 30, 80, 80]",0.15625,0.22984619140625,1444676502.0,139632,154181050.0,31290.0,4905530278.0,6517556,0.75,0.3752,0.5616
9,640,282435,"[1, 33, 80, 80]",0.171875,0.22984619140625,1444676502.0,139632,158846650.0,31290.0,4910138278.0,6517556,0.83,0.3742,0.5618
10,640,282435,"[1, 37, 80, 80]",0.19270833333333334,0.22984619140625,1444676502.0,139632,165067450.0,31290.0,4916282278.0,6517556,0.916,0.3739,0.5603
11,640,282435,"[1, 40, 80, 80]",0.20833333333333334,0.22984619140625,1444676502.0,139632,169733050.0,31290.0,4920890278.0,6517556,1.0,0.3746,0.561
