,Setting,Iou50:95,Iou50
0,Teacher,0.4216,0.6130
1,0.5,0.3772,0.5571
2,0.58,0.3834,0.5661
3,0.66,0.3859,0.5710
4,0.75,0.3896,0.5741
5,0.83,0.3908,0.5760
6,0.916,0.3994,0.5872
7,1.0,0.4018,0.5923
