,input_size,jpeg_size,output_shape,compression,jpeg_compression,macs_base_encoder,params_base_encoder,macs_compressor,params_compressor,macs_decoder,params_decoder,Setting,Iou50:95,Iou50
0,768,404049,"[1, 48, 96, 96]",0.25,0.2283443874782986,2272760954.0,173374,0.0,0.0,9094212832.0,7952282,Teacher,0.4216,0.613
1,768,404049,"[1, 36, 96, 96]",0.1875,0.2283443874782986,2272760954.0,173374,300596268.0,39828.0,9094212832.0,7952282,1.0,0.4161,0.6074
